ITEM,NAME,DATA
44,- ձեռքբերում,2020
71,2.4. Արտաբյուջետային հաշվի ելքերի ֆինանսավորմանն ուղղվող հաշվի տարեսկզբի միջոցներ,2020
72,2.5. Արտաբյուջետային հաշվից համապատասխան բյուջե փոխանցվող միջոցներ,2020
74,2.7. Արտաբյուջետային հաշվի ժամանակավորապես ազատ միջոցներ,2020
81,2.4. Արտաբյուջետային հաշվի ելքերի ֆինանսավորմանն ուղղվող հաշվի տարեսկզբի միջոցներ,2020
82,2.5. Արտաբյուջետային հաշվից համապատասխան բյուջե փոխանցվող միջոցներ,2020
84,2.7. Արտաբյուջետային հաշվի ժամանակավորապես ազատ միջոցներ,2020
4110,Դրամով վճարվող աշխատավարձեր եւ հավելավճարներ,2020
4111,- Աշխատողների աշխատավարձեր եւ հավելավճարներ,2020
4112,"- Պարգեւատրումներ, դրամական խրախուսումներ եւ հատուկ վճարներ
",2020
4113,"- Քաղաքացիական, դատական եւ պետական այլ ծառայողների պարգեւատրում
",2020
4114,"- ՀՀ  ֆինանսների եւ էկոնոմիկայի նախարարության, հարկային եւ մաքսային մարմինների աշխատողների պարգեւատրում` օրենքի համաձայն
",2020
4115,- Այլ վարձատրություններ,2020
4120,"Բնեղեն աշխատավարձեր եւ հավելավճարներ
",2020
4121,"- Բնեղեն աշխատավարձեր եւ հավելավճարներ
",2020
4130,Փաստացի սոցիալական ապահովության վճարներ (գործատուի կողմից),2020
4131,Փաստացի սոցիալական ապահովության վճարներ (գործատուի կողմից),2020
4132,- Սոցիալական ապահովագրության այլ վճարներ,2020
4210,"Շարունակական ծախսեր
",2020
4211,"- Գործառնական եւ բանկային ծառայությունների ծախսեր
",2020
4212,"- Էներգետիկ ծառայություններ
",2020
4213,"- Կոմունալ ծառայություններ
",2020
4214,"- Կապի ծառայություններ
",2020
4215,"- Ապահովագրական ծախսեր
",2020
4216,"- Գույքի եւ սարքավորումների վարձակալություն
",2020
4217,"- Արտագերատեսչական ծախսեր
",2020
4220,Գործուղումների եւ շրջագայությունների ծախսեր,2020
4221,Գործուղումների եւ շրջագայությունների ծախսեր,2020
4222,Գործուղումների եւ շրջագայությունների ծախսեր,2020
4229,Գործուղումների եւ շրջագայությունների ծախսեր,2020
4230,Այլ պայմանագրային ծառայությունների ձեռքբերում,2020
4231,"- Վարչական ծառայություններ
",2020
4232,"- Համակարգչային ծառայություններ
",2020
4233,"- Աշխատակազմի մասնագիտական զարգացման ծառայություններ
",2020
4234,"- Տեղեկատվական ծառայություններ
",2020
4235,"- Կառավարչական ծառայություններ
",2020
4236,"- Կենցաղային եւ հանրային սննդի ծառայություններ
",2020
4237,"- Ներկայացուցչական ծախսեր
",2020
4239,"- Ընդհանուր բնույթի այլ ծառայություններ
",2020
4240,Այլ մասնագիտական ծառայությունների ձեռքբերում,2020
4241,"- Մասնագիտական ծառայություններ
",2020
4250,Ընթացիկ նորոգում եւ պահպանում (ծառայություններ եւ նյութեր),2020
4251,"- Շենքերի եւ կառույցների ընթացիկ նորոգում եւ պահպանում
",2020
4252,"- Մեքենաների եւ սարքավորումների ընթացիկ նորոգում եւ պահպանում
",2020
4260,Նյութեր,2020
4261,"- Գրասենյակային նյութեր եւ հագուստ
",2020
4262,"- Գյուղատնտեսական ապրանքներ
",2020
4263,"- Վերապատրաստման եւ ուսուցման նյութեր (աշխատողների զարգացման)
",2020
4264,"- Տրանսպորտային նյութեր
",2020
4265,"- Շրջակա միջավայրի պաշտպանության եւ գիտական նյութեր
",2020
4266,- Առողջապահական եւ լաբորատոր նյութեր,2020
4267,"- Կենցաղային եւ հանրային սննդի նյութեր
",2020
4269,"- Հատուկ նպատակային այլ նյութեր
",2020
4410,- Ներքին տոկոսավճարներ,2020
4411,"- Ներքին արժեթղթերի տոկոսավճարներ
",2020
4412,"- Ներքին վարկերի տոկոսավճարներ
",2020
4420,- Արտաքին տոկոսավճարներ,2020
4421,"- Արտաքին արժեթղթերի գծով տոկոսավճարներ
",2020
4422,"- Արտաքին վարկերի գծով տոկոսավճարներ
",2020
4430,"- Փոխառությունների հետ կապված վճարներ
",2020
4431,"- Փոխանակման կուրսերի բացասական տարբերություն
",2020
4432,"- Տույժեր
",2020
4433,"- Փոխառությունների գծով տուրքեր
",2020
4510,Սուբսիդիաներ պետական կազմակերպություններին,2020
4511,"- Սուբսիդիաներ ոչ ֆինանսական պետական կազմակերպություններին
",2020
4512,"- Սուբսիդիաներ  ֆինանսական պետական կազմակերպություններին
",2020
4520,Սուբսիդիաներ ոչ պետական կազմակերպություններին,2020
4521,"- Սուբսիդիաներ ոչ  պետական ոչ ֆինանսական կազմակերպություններին
",2020
4522,"- Սուբսիդիաներ ոչ պետական ֆինանսական կազմակերպություններին
",2020
4610,Դրամաշնորհներ օտարերկրյա կառավարություններին,2020
4611,- Ընթացիկ դրամաշնորհներ օտարերկրյա կառավարություններին,2020
