ITEM,NAME,DATA
44,- ձեռքբերում,2019
71,2.4. Արտաբյուջետային հաշվի ելքերի ֆինանսավորմանն ուղղվող հաշվի տարեսկզբի միջոցներ,2019
72,2.5. Արտաբյուջետային հաշվից համապատասխան բյուջե փոխանցվող միջոցներ,2019
74,2.7. Արտաբյուջետային հաշվի ժամանակավորապես ազատ միջոցներ,2019
81,2.4. Արտաբյուջետային հաշվի ելքերի ֆինանսավորմանն ուղղվող հաշվի տարեսկզբի միջոցներ,2019
82,2.5. Արտաբյուջետային հաշվից համապատասխան բյուջե փոխանցվող միջոցներ,2019
84,2.7. Արտաբյուջետային հաշվի ժամանակավորապես ազատ միջոցներ,2019
4110,Դրամով վճարվող աշխատավարձեր եւ հավելավճարներ,2019
4111,- Աշխատողների աշխատավարձեր եւ հավելավճարներ,2019
4112,"- Պարգեւատրումներ, դրամական խրախուսումներ եւ հատուկ վճարներ
",2019
4113,"- Քաղաքացիական, դատական եւ պետական այլ ծառայողների պարգեւատրում
",2019
4114,"- ՀՀ  ֆինանսների եւ էկոնոմիկայի նախարարության, հարկային եւ մաքսային մարմինների աշխատողների պարգեւատրում` օրենքի համաձայն
",2019
4115,- Այլ վարձատրություններ,2019
4120,"Բնեղեն աշխատավարձեր եւ հավելավճարներ
",2019
4121,"- Բնեղեն աշխատավարձեր եւ հավելավճարներ
",2019
4130,Փաստացի սոցիալական ապահովության վճարներ (գործատուի կողմից),2019
4131,Փաստացի սոցիալական ապահովության վճարներ (գործատուի կողմից),2019
4132,- Սոցիալական ապահովագրության այլ վճարներ,2019
4210,"Շարունակական ծախսեր
",2019
4211,"- Գործառնական եւ բանկային ծառայությունների ծախսեր
",2019
4212,"- Էներգետիկ ծառայություններ
",2019
4213,"- Կոմունալ ծառայություններ
",2019
4214,"- Կապի ծառայություններ
",2019
4215,"- Ապահովագրական ծախսեր
",2019
4216,"- Գույքի եւ սարքավորումների վարձակալություն
",2019
4217,"- Արտագերատեսչական ծախսեր
",2019
4220,Գործուղումների եւ շրջագայությունների ծախսեր,2019
4221,Գործուղումների եւ շրջագայությունների ծախսեր,2019
4222,Գործուղումների եւ շրջագայությունների ծախսեր,2019
4229,Գործուղումների եւ շրջագայությունների ծախսեր,2019
4230,Այլ պայմանագրային ծառայությունների ձեռքբերում,2019
4231,"- Վարչական ծառայություններ
",2019
4232,"- Համակարգչային ծառայություններ
",2019
4233,"- Աշխատակազմի մասնագիտական զարգացման ծառայություններ
",2019
4234,"- Տեղեկատվական ծառայություններ
",2019
4235,"- Կառավարչական ծառայություններ
",2019
4236,"- Կենցաղային եւ հանրային սննդի ծառայություններ
",2019
4237,"- Ներկայացուցչական ծախսեր
",2019
4239,"- Ընդհանուր բնույթի այլ ծառայություններ
",2019
4240,Այլ մասնագիտական ծառայությունների ձեռքբերում,2019
4241,"- Մասնագիտական ծառայություններ
",2019
4250,Ընթացիկ նորոգում եւ պահպանում (ծառայություններ եւ նյութեր),2019
4251,"- Շենքերի եւ կառույցների ընթացիկ նորոգում եւ պահպանում
",2019
4252,"- Մեքենաների եւ սարքավորումների ընթացիկ նորոգում եւ պահպանում
",2019
4260,Նյութեր,2019
