CONTID,CONTRACT,FILENAME,FILENAMEBC
5,874686001,https://armeps.am/ppcm/public/contracts/download-attachment?id=eae60a9f-f418-45f2-8ec5-d2b34a2baaf3;https://armeps.am/ppcm/public/contracts/download-attachment?id=e4912529-d012-442a-9cd8-c81a072bb465,86956665-4212.pdf;88300127-e.pdf
5,876073001,https://armeps.am/ppcm/public/contracts/download-attachment?id=85713e2e-2732-43ef-a2d3-7c2868a42929;https://armeps.am/ppcm/public/contracts/download-attachment?id=9dd0bbf0-289b-4632-add9-691aab190ca6;https://armeps.am/ppcm/public/contracts/download-attachment?id=247fbe5f-7c01-48b8-a7cd-3bb6626b4a10,88456163-g.pdf;87031231-g.pdf
6,896737001,https://armeps.am/ppcm/public/contracts/download-attachment?id=8ccc3105-c7fd-4db4-af25-81c78fcca92f;https://armeps.am/ppcm/public/contracts/download-attachment?id=b57414e6-074e-4c28-aab4-66189adfe086,87833352-51.PDF;88939599-5.pdf
6,929585001,https://armeps.am/ppcm/public/contracts/download-attachment?id=f5e62464-d68a-4fe3-b944-3447f5bd534c;https://armeps.am/ppcm/public/contracts/download-attachment?id=be4d196e-24a3-4b86-ba40-1a78dbbff9b5;https://armeps.am/ppcm/public/contracts/download-attachment?id=53d6a67a-de31-406d-8d93-c63992caa82a;https://armeps.am/ppcm/public/contracts/download-attachment?id=bb3c3e9d-d583-4e1c-94e8-d7c4d14d1b31,88300391-j.PDF;87031561-v.pdf
6,929587001,https://armeps.am/ppcm/public/contracts/download-attachment?id=c01c8696-b6cf-4f4d-8d20-999fde46a0df;https://armeps.am/ppcm/public/contracts/download-attachment?id=ef817918-bf06-4e0a-bf6c-b9ec6f2078cf,87059654-5.pdf;89290229-50.pdf
7,872872001,https://armeps.am/ppcm/public/contracts/download-attachment?id=526a3d85-ef84-4ce6-9aca-608afa2951c2,88513420-m.pdf
7,878430001,https://armeps.am/ppcm/public/contracts/download-attachment?id=99d57904-688b-45d8-a6b6-6beb45027408;https://armeps.am/ppcm/public/contracts/download-attachment?id=cbf0f3f4-97f1-4fb9-ba59-b1ef99eb03bf,89217245-253.PDF;89217216-251.PDF
7,878431001,https://armeps.am/ppcm/public/contracts/download-attachment?id=f840405f-ea2b-4639-8b20-fbb307d21946;https://armeps.am/ppcm/public/contracts/download-attachment?id=0d7bf52a-8a7e-4e95-8953-9958a6df4318,89217807-t105.PDF;89217763-t109.PDF
7,883689001,https://armeps.am/ppcm/public/contracts/download-attachment?id=a58855ae-1030-40b8-a651-75e2328b1c1f,87757517-541.pdf;88604423-5.pdf
7,914218001,https://armeps.am/ppcm/public/contracts/download-attachment?id=25532509-70e0-4c37-b0a6-cd0550e55e25;https://armeps.am/ppcm/public/contracts/download-attachment?id=d55bb1c0-2221-4b15-b87d-e5abb544c2ad,88319729-40000.pdf;87097846-u.PDF;88946292-4.pdf
7,929586001,https://armeps.am/ppcm/public/contracts/download-attachment?id=28bc1009-3a88-40bf-9f31-469c1ac8e1d3;https://armeps.am/ppcm/public/contracts/download-attachment?id=cdd270d3-fff6-4a0f-9fea-b6cd9bbe9c8e,87508122-17.PDF;87508364-7.PDF;87032009-3.pdf;89289965-120.pdf
7,954911001,https://armeps.am/ppcm/public/contracts/download-attachment?id=1ea86659-e788-44ea-9ef7-b012ab48b875,87031891-a.pdf;89290097-75.060.pdf;88605498-7.pdf
8,914219001,https://armeps.am/ppcm/public/contracts/download-attachment?id=d04db07f-ef40-4ade-8b73-12a4fcf9e9cd;https://armeps.am/ppcm/public/contracts/download-attachment?id=140e40b9-2338-4725-8ce9-ba9475d4eaf9,89340022-59000.pdf
10,1003833001,https://armeps.am/ppcm/public/contracts/download-attachment?id=21f8bd6c-988c-46d1-a3a9-6f6434900656;https://armeps.am/ppcm/public/contracts/download-attachment?id=0bf17b7c-4bfc-42fb-8c52-5f4c6534cc25,89216712-145.PDF
10,1004994001,https://armeps.am/ppcm/public/contracts/download-attachment?id=8464c412-8522-40e2-a6e6-e0b96d8593cb;https://armeps.am/ppcm/public/contracts/download-attachment?id=4f58c3af-9552-4f83-a4f3-a1113e7d10c5,89290038-5325.pdf
11,898856001,https://armeps.am/ppcm/public/contracts/download-attachment?id=060669ba-080a-4e4e-8741-c3f39ed324b2,88311847-3.pdf;87757641-369.pdf
11,900970001,https://armeps.am/ppcm/public/contracts/download-attachment?id=0e64d31f-a372-4bbe-bb90-cab4d215dae1,88939942-1.pdf;88106783-168.PDF
12,929833001,https://armeps.am/ppcm/public/contracts/download-attachment?id=8c4397a7-dc99-467d-bb73-7c2b6f9f4e6d;https://armeps.am/ppcm/public/contracts/download-attachment?id=a5fe4506-83ab-4401-b613-b3b340f3dfbc,89218127-b89.PDF
13,991770001,https://armeps.am/ppcm/public/contracts/download-attachment?id=e789c10f-cd7f-4a36-8a06-683b9109bdae,88004917-144.pdf;88004973-67.pdf
16,896798001,https://armeps.am/ppcm/public/contracts/download-attachment?id=507de3a0-19aa-46f8-b377-153efe0054f9;https://armeps.am/ppcm/public/contracts/download-attachment?id=bd09977b-5fbe-49ee-89d4-27d13ee0d822;https://armeps.am/ppcm/public/contracts/download-attachment?id=d08c465c-c399-4ac8-98dc-a7c873f35dda;https://armeps.am/ppcm/public/contracts/download-attachment?id=fe8075f2-04e6-41f9-850b-2a9e7a56c2cb,89257205-rr.PDF;89216941-rum.PDF
16,949348001,https://armeps.am/ppcm/public/contracts/download-attachment?id=558eb818-f4d0-4acb-8f7b-4cc3d5ecae1e,
