GROWP,SUBGROUP,CLASS,PROGRAM,NAME,DATA
1,0,0,0,ԸՆԴՀԱՆՈՒՐ ԲՆՈՒՅԹԻ ՀԱՆՐԱՅԻՆ ԾԱՌԱՅՈՒԹՅՈՒՆՆԵՐ,2020
1,1,0,0,"Օրենսդիր եւ գործադիր  մարմիններ, պետական կառավարում, ֆինանսական եւ հարկաբյուջետային հարաբերություններ, արտաքին հարաբերություններ",2020
1,1,1,0,"Օրենսդիր եւ  գործադիր մարմիններ, պետական կառավարում",2020
1,1,1,1,ՀՀ Ազգային ժողովի աշխատակազմի եւ պատգամավորների պահպանում,2020
1,1,1,2,ՀՀ Վերահսկիչ պալատի պահպանում,2020
1,1,1,3,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  պահպանում",2020
1,1,1,4,Վարչական օբյեկտների հիմնանորոգում,2020
1,1,1,5,Հայաստանի Հանրապետության համայնքային բյուջեներին  սուբվենցիաների տրամադրում,2020
1,1,1,6,ՀՀ վերահսկիչ պալատի պահուստային ֆոնդ,2020
1,1,1,7,ՀՀ Ազգային ժողովի աշխատակազմի կարողությունների զարգացում,2020
1,1,1,8,ՀՀ Վերահսկիչ պալատի կարողությունների զարգացում,2020
1,1,1,9,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  կարողությունների զարգացում",2020
1,1,1,10,ՀՀ տնտեսական զարգացման եւ ներդրումների նախարարության Շուկայի վերահսկողության տեսչական մարմնի պահպանում,2020
1,1,1,11,ՀՀ արդարադատության նախարարության  «Անձնական տվյալների պաշտպանության գործակալության»  պահպանում,2020
1,1,1,12,«Հայաստանի Հանրապետության արդարադատության նախարարության եւ ԱՄՆ ՄԶԳ-ի միջեւ 2016թվականի սեպտեմբերի 13-ին կնքված N AAG-111-G-13-001 Զարգացման համագործակցության համաձայնագրի ներքո իրականացվող» դրամաշնորհային ծրագիր,2020
1,1,1,13,ՀՀ բնապահպանության նախարարության բնապահպանության եւ ընդերքի տեսչական մարմնի պահպանում,2020
1,1,1,14,ՀՀ առողջապահության նախարարության առողջապահական տեսչական մարմնի պահպանում,2020
1,1,1,15,Տվյալների փոխանակման միջգերատեսչական կապի ապահովում,2020
1,1,1,16,ՀՀ Գեղարքունիքի մարզպետարանի տեխնիկական հագեցվածության բարելավում,2020
1,1,1,17,ՀՀ Վայոց ձորի մարզպետարանի տեխնիկական հագեցվածության բարելավում,2020
1,1,1,18,ՀՀ վարչապետին ՀՀ Սահմանադրությամբ եւ օրենքներով վերապահված վերահսկողական լիազորությունների իրականացման ապահովում,2020
1,1,1,19,Քաղաքաշինության եւ ճարտարապետության բնագավառում վերահսկողության ծառայություններ,2020
1,1,1,20,Կրթության ոլորտում վերահսկողության ծառայություններ,2020
1,1,1,21,Սննդամթերքի անվտանգության բնագավառում վերահսկողության իրականացման ծառայություններ,2020
1,1,1,22,Սննդամթերքի անվտանգության տեսչական մարմնի տեխնիկական հագեցվածության բարելավում,2020
1,1,1,23,Կրթության տեսչական մարմնի տեխնիկական հագեցվածության բարելավում,2020
1,1,1,24,Շուկայի վերահսկողության տեսչական մարմնի տեխնիկական հագեցվածության բարելավում,2020
1,1,1,25,"Քաղաքաշինության, տեխնիկական եւ հրդեհային անվտանգության տեսչական մարմնի տեխնիկական հագեցվածության բարելավում",2020
1,1,1,26,Բնապահպանության եւ ընդերքի տեսչական մարմնի կարողությունների զարգացում եւ տեխնիկական հագեցվածության ապահովում,2020
1,1,1,27,Առողջապահության եւ աշխատանքի տեսչական մարմնի կարողությունների զարգացում եւ տեխնիկական հագեցվածության ապահովում,2020
1,1,1,28,Հանրային խորհրդի գործունեության ապահովում,2020
1,1,1,29,Արտասահմանյան պաշտոնական գործուղումներ,2020
1,1,1,30,Արտասահմանյան պատվիրակությունների ընդունելություններ,2020
1,1,1,31,Արտասահմանյան պատվիրակությունների ընդունելություններ,2020
1,1,1,32,Պետական հիմնարկների եւ կազմակերպությունների աշխատողների սոցիալական  փաթեթով ապահովում,2020
1,1,2,0,Ֆինանսական եւ հարկաբյուջետային հարաբերություններ,2020
1,1,2,1,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  պահպանում",2020
1,1,2,2,ՀՀ պետական պարտքի կառավարման գործընթացի հրապարակայնության ապահովում,2020
1,1,2,3,Ակցիզային դրոշմանիշների ձեռքբերում,2020
1,1,2,4,Ֆինանսական կառավարման  համակարգի վճարահաշվարկային ծախսեր,2020
1,1,2,5,Էլեկտրոնային գնումների համակարգի ներդրման գծով պետական պատվեր,2020
1,1,2,6,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  կարողությունների զարգացում",2020
1,1,2,7,Դրոշմապիտակների ձեռքբերման ծախսեր,2020
1,1,2,8,Բլումբերգ եւ Ռոյթերս տեղեկատվական համակարգերի առեւտրային տերմինալների տեղադրման եւ սպասարկման վճար,2020
1,1,2,9,Արտարժութային պետական պարտատոմսերի ցուցակման ծառայություններ,2020
1,1,2,10,Էլեկտրոնային գնումների համակարգի տեխնիկական սպասարկում,2020
1,1,2,11,ՀՀ պետական եկամուտների կոմիտեի շենքային ապահովվածության բարելավում,2020
1,1,2,12,ՀՀ պետական եկամուտների կոմիտեի շենքային պայմանների բարելավում,2020
1,1,2,19,Արտասահմանյան պաշտոնական գործուղումներ,2020
1,1,3,0,Արտաքին հարաբերություններ,2020
1,1,3,1,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  պահպանում",2020
1,1,3,2,ՀՀ դեսպանությունների եւ ներկայացուցչությունների պահպանում,2020
1,1,3,3,Միջազգային կազմակերպություններին Հայաստանի Հանրապետության անդամակցության վճարներ,2020
1,1,3,4,Արտասահմանյան պատվիրակությունների ընդունելություններ,2020
1,1,3,5,Արտասահմանյան պաշտոնական գործուղումներ,2020
1,1,3,6,ՀՀ արտաքին գործերի նախարարության աշխատակազմի «Պետական արարողակարգի ծառայություն» գործակալության պահպանում,2020
1,1,3,7,Դեսպանությունների շենքերի գնում,2020
1,1,3,8,Հայաստանի Հանրապետությանը սուվերեն վարկանիշ շնորհելու կապակցությամբ կազմակերպությունների կողմից մատուցված ծառայությունների դիմաց վճարման ծախսեր,2020
1,1,3,9,ՆԱՏO-ի նոր կենտրոնակայանի շենքի վերակառուցման աշխատանքների ծախսերի փոխհատուցման ՀՀ մասնաբաժին,2020
1,1,3,10,Արտասահմանյան պաշտոնական գործուղումներ,2020
1,1,3,11,Արտասահմանյան պատվիրակությունների ընդունելություններ,2020
1,1,3,12,Արտասահմանյան պաշտոնական գործուղումներ,2020
1,1,3,13,ՀՀ քաղաքացու անձնագիր տալու կամ փոխանակելու ծառայություն,2020
1,1,3,14,ՀՀ դեսպանություների եվ ներկայացուցչությունների պահպանում արտաբյուջետային միջոցների հաշվին,2020
1,2,0,0,Արտաքին տնտեսական օգնություն,2020
1,2,1,0,Արտաքին տնտեսական աջակցություն,2020
1,2,2,0,Միջազգային կազմակերպությունների միջոցով տրամադրվող տնտեսական օգնություն,2020
1,3,0,0,Ընդհանուր բնույթի ծառայություններ,2020
1,3,1,0,Աշխատակազմի /կադրերի/ գծով ընդհանուր բնույթի ծառայություններ,2020
1,3,1,1,Քաղաքացիակական կացության ակտերի գրանցման ծառայության  գործունեության կազմակերպման բնագավառում պետության կողմից  համայնքի ղեկավարին  պատվիրակված լիազորությունների իրականացման ֆինանսավորում,2020
1,3,2,0,Ծրագրման եւ վիճակագրական ընդհանուր ծառայություններ,2020
1,3,2,1,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  պահպանում",2020
1,3,2,2,Պետական վիճակագրական տեղեկատվության հավաքագրում,2020
1,3,2,3,Հերթական մարդահամարի նախապատրաստման աշխատանքների կազմակերպում,2020
1,3,2,4,Եվրասիական տնտեսական միության հետ տեղեկատվական հոսքերի ապահովման նպատակով ինտեգրացված համակարգի ազգային սեգմենտի պահպանում,2020
1,3,2,5,ՀՀ վիճակագրական կոմիտեի տեխնիկական հագեցվածության բարելավում,2020
1,3,2,6,Մասնագետների պատրաստման ԲՈՒՀ-մասնավոր հատված համագործակցություն,2020
1,3,2,7,«Գաղափարից մինչեւ բիզնես» դրամաշնորհներ,2020
1,3,2,8,«Հայկական վիրտուալ կամուրջ»,2020
1,3,2,9,"Շուկաների զարգացում եւ միջազգային համագործակցություն""",2020
1,3,2,10,Արտասահմանյան պաշտոնական գործուղումներ,2020
1,3,3,0,Ընդհանուր բնույթի այլ ծառայություններ,2020
1,3,3,1,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  պահպանում",2020
1,3,3,2,ՀՀ Գեղարքունիքի մարզի Արծվաշեն համայնքի ղեկավարի աշխատակազմի պահպանում,2020
1,3,3,3,Պետական աջակցություն «Սպասարկում» ՊՈԱԿ-ին,2020
1,3,3,4,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  կարողությունների զարգացում",2020
1,3,3,5,ՀՀ բարձրաստիճան պաշտոնատար անձանց գերատեսչական առանձնատների եւ տարածքների շահագործում եւ սպասարկում,2020
1,4,0,0,Ընդհանուր բնույթի հետազոտական աշխատանք,2020
1,4,1,0,Ընդհանուր բնույթի հետազոտական աշխատանք,2020
1,4,1,1,Գիտաշխատողներին գիտական աստիճանների համար տրվող հավելավճարներ,2020
1,4,1,2,Գիտական եւ գիտատեխնիկական գործունեության ենթակառուցվածքների պահպանում ու զարգացում,2020
1,4,1,3,«Ա. Ալիխանյանի անվան ազգային գիտական լաբորատորիա» հիմնադրամի  գիտական եւ գիտատեխնիկական գործունեության ենթակառուցվածքի պահպանում ու զարգացում եւ գիտական ներուժի արդիականացում,2020
1,4,1,4,Ազգային արժեք ներկայացնող գիտական օբյեկտների պահպանություն,2020
1,4,1,5,«ՔԵՆԴԼ» սինքրոտրոնային հետազոտությունների ինստիտուտ» հիմնադրամին պետական աջակցություն,2020
1,4,1,6,ՀՀ գիտությունների ազգային ակադեմիայի իսկական եւ թղթակից անդամների պատվովճարների տրամադրում,2020
1,4,1,7,Ներդրումներ ՀՀ գիտությունների ազգային ակադեմիայի կազմակերպություններում,2020
1,5,0,0,Ընդհանուր բնույթի հանրային ծառայությունների գծով հետազոտական եւ նախագծային աշխատանքներ,2020
1,5,1,0,Ընդհանուր բնույթի հանրային ծառայությունների գծով հետազոտական եւ նախագծային աշխատանքներ,2020
1,5,1,1,Գիտական եւ գիտատեխնիկական գործունեության պայմանագրային (թեմատիկ) հետազոտություններ,2020
1,5,1,2,Գիտական եւ գիտատեխնիկական նպատակային-ծրագրային հետազոտություններ,2020
1,6,0,0,Ընդհանուր բնույթի հանրային ծառայություններ (այլ դասերին չպատկանող),2020
1,6,1,0,Ընդհանուր բնույթի հանրային ծառայություններ (այլ դասերին չպատկանող),2020
1,6,1,1,Բարձրաստիճան պաշտոնատար անձանց էթիկայի հանձնաժողովի պահպանում,2020
1,6,1,2,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  պահպանում",2020
1,6,1,3,ՀՀ  տեղական ինքնակառավարման մարմինների ընտրություններ,2020
1,6,1,4,Փորձաքննությունների  ծառայություններ,2020
1,6,1,5,"Պետական գույքի հաշվառման, գույքագրման, ուսումնասիրությունների եւ գնահատման աշխատանքների իրականացում",2020
1,6,1,6,Սեյսմիկ պաշտպանության ազգային ծառայություն,2020
1,6,1,7,ՀՀ կառավարությանն առընթեր անշարժ գույքի կադաստրի պետական կոմիտեի ստորաբաժանումների կողմից մատուցվող ծառայություններից ստացվող եկամուտների հաշվին կոմիտեի համակարգի պահպանում,2020
1,6,1,8,ԱՄՆ կառավարության աջակցությամբ իրականացվող «Հազարամյակի մարտահրավեր» դրամաշնորհային  ծրագիր,2020
1,6,1,9,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  կարողությունների զարգացում",2020
1,6,1,10,ՀՀ կառավարությանն առընթեր անշարժ գույքի կադաստրի պետական կոմիտեի ստորաբաժանումների կողմից մատուցվող ծառայություններից ստացվող եկամուտների հաշվին կոմիտեի համակարգի կարողությունների զարգացում,2020
1,6,1,11,Համաշխարհային բանկի աջակցությամբ  իրականացվող առեւտրի եւ ենթակառուցվածքների զարգացման ծրագիր,2020
1,6,1,12,Համաշխարհային բանկի աջակցությամբ իրականացվող պետական հատվածի արդիականացման երրորդ ծրագիր,2020
1,6,1,13,Համաշխարհային բանկի աջակցությամբ իրականացվող վիճակագրական համակարգի զարգացման համար ազգային ռազմավարական ծրագրի իրականացման դրամաշնորհային ծրագիր,2020
1,6,1,14,ՀՀ ֆինանսների նախարարության եւ ՌԴ ֆինանսների նախարարության միջեւ` Ռուսաստանի Դաշնության կողմից Հայաստանի Հանրապետությանն անհատույց ֆինանսական օգնության դրամաշնորհային ծրագիր,2020
1,6,1,15,Համաշխարհային բանկի աջակցությամբ իրականացվող«Հանքարդյունաբերության ոլորտի քաղաքականության ծրագիր» դրամաշնորհային ծրագիր,2020
1,6,1,16,Համաշխարհային բանկի աջակցությամբ իրականացվող «Հայաստանի արդյունահանող ճյուղերի թափանցիկության նախաձեռնությանն աջակցություն» դրամաշնորհային ծրագիր,2020
1,6,1,17,Թեմատիկ քարտեզագրության աշխատանքներ,2020
1,6,1,18,Աշխարհագրական անվանումների պետական քարտադարանի թարմացման աշխատանքներ,2020
1,6,1,19,Նախագծահետազոտական փաստաթղթերի կազմման աշխատանքներ,2020
1,6,1,20,Ռուսաստանի Դաշնության կողմից Հայաստանի Հանրապետությանն անհատույց ֆինանսական օգնության դրամաշնորհային ծրագրի շրջանակներում խորհրդատվական ծառայություններ ձեռքբերում,2020
1,6,1,21,Համաշխարհային բանկի աջակցությամբ իրականաացվող վիճակագրական կոմիտեի տեխնիկական հագեցվածության բարելավում,2020
1,6,1,22,Համաշխարհային բանկի աջակցությամբ իրականաացվող վիճակագրական կոմիտեի շենքային պայմանների բարելավում,2020
1,6,1,23,Պետական հատվածի արդիականացման երրորդ  ծրագրի շրջանակներում էլեկտրոնային կառավարման համակարգերի եւ սարքավորումների ձեռքբերում,2020
1,6,1,24,Համաշխարհային բանկի աջակցությամբ իրականացվող առեւտրի եւ ենթակառուցվածքների զարգացման ծրագրի շրջանակներում սարքավորումների ձեռքբերում,2020
1,6,1,25,Համաշխարհային բանկի աջակցությամբ իրականացվող առեւտրի եւ ենթակառուցվածքների զարգացման ծրագրի շրջանակներում շենքերի եւ շինությունների հիմնանորոգում,2020
1,6,1,26,ՀՀ անտառապատ շրջաններում 2-րդ դասի GNSS հիմնակետերի ստեղծման աշխատանքներ,2020
1,6,1,27,Ազգային տարածական տվյալների ենթակառուցվածքների մշակման  բնագավառում նախատեսվող աշխատանքներ,2020
1,6,1,28,ՀՀ անշարժ գույքի կադաստրի կոմիտեի ստորաբաժանումների կողմից մատուցվող ծառայություններից ստացվող եկամուտների հաշվին կոմիտեի համակարգի կարողությունների զարգացում,2020
1,6,1,29,"Ռեֆերենց կայանների կառուցման, դիտարկման եւ կայանների ցանցի հավասարակշռման աշխատանքներ",2020
1,6,1,30,Արտասահմանյան պաշտոնական գործուղումներ,2020
1,6,1,31,Հիմնարկներին եվ կազմակերպություններին ամրացված` յուրաքանչյուր միավոր մինչեվ 5 մլն դրամ գնահատված արժեքով շարժական գույքի օտարման գործընթացում գտնվելու ժամանակահատվածում գույքի պահառության կազմակերպում,2020
1,6,1,32,ՀՀ Սահմանադրության փոփոխությունների հանրաքվեի կազմակերպման տեղեկատվական աջակցություն,2020
1,6,1,33,ՀՀ Սահմանադրության փոփոխությունների հանրաքվեի կազմակերպում,2020
1,6,1,34,ՀՀ Սահմանադրության փոփոխությունների հանրաքվեի կազմակերպման տեղեկատվական աջակցություն,2020
1,7,0,0,Պետական պարտքի գծով գործառնություններ,2020
1,7,1,0,Պետական պարտքի գծով գործառնություններ,2020
1,7,1,1,Կառավարության պարտքի սպասարկում (տոկոսավճարներ),2020
1,7,1,2,Մուրհակների սպասարկման ծախսեր (տոկոսավճարներ),2020
1,7,1,3,Կառավարության պարտքի սպասարկում,2020
1,8,0,0,Կառավարության տարբեր մակարդակների միջեւ իրականացվող ընդհանուր բնույթի տրանսֆերտներ,2020
1,8,1,0,Կառավարության տարբեր մակարդակների միջեւ իրականացվող ընդհանուր բնույթի տրանսֆերտներ,2020
1,8,1,1,Համայնքների բյուջեներին ֆինանսական համահարթեցման սկզբունքով դոտացիաների տրամադրում եւ Ազգային Ժողովի ընդունած օրենքների կիրարկման արդյունքում համայնքների բյուջեների եկամուտների կորուստների փոխհատուցում,2020
1,8,1,2,Պետական աջակցություն սահմանամերձ համայնքներին,2020
1,8,1,3,ՀՀ մարզերին սուբվենցիաների տրամադրում՝ ենթակառուցվածքների զարգացման նպատակով,2020
1,8,1,4,Ֆինանսական փոխհատուցում տեղական ինքնակառավարման մարմիններին,2020
2,0,0,0,ՊԱՇՏՊԱՆՈՒԹՅՈՒՆ,2020
2,1,0,0,Ռազմական պաշտպանություն,2020
2,1,1,0,Ռազմական պաշտպանություն,2020
2,1,1,1,Ռազմական կարիքների բավարարում,2020
2,1,1,2,Ռազմական նշանակության համակարգերի պահպանում,2020
2,1,1,3,Ռուսաստանի Դաշնության  կողմից տրամադրված պետական արտահանման երկրորդ վարկի հաշվին ռուսական արտադրության ռազմական նշանակության արտադրանքի մատակարարումների ֆինանսավորում,2020
2,1,1,4,ՀՀ պաշտպանության նախարարության շենքային պայմանների բարելավում,2020
2,2,0,0,Քաղաքացիական պաշտպանություն,2020
